Training...

EPOCH   1/160: train_acc=0.844, valid_acc=0.802, LR=0.00100000, global_step=0
EPOCH   2/160: train_acc=0.905, valid_acc=0.863, LR=0.00100000, global_step=2016
EPOCH   3/160: train_acc=0.935, valid_acc=0.898, LR=0.00100000, global_step=4032
EPOCH   4/160: train_acc=0.940, valid_acc=0.902, LR=0.00100000, global_step=6048
EPOCH   5/160: train_acc=0.955, valid_acc=0.922, LR=0.00100000, global_step=8064
EPOCH   6/160: train_acc=0.962, valid_acc=0.921, LR=0.00100000, global_step=10080
EPOCH   7/160: train_acc=0.966, valid_acc=0.921, LR=0.00100000, global_step=12096
EPOCH   8/160: train_acc=0.968, valid_acc=0.933, LR=0.00100000, global_step=14112
EPOCH   9/160: train_acc=0.969, valid_acc=0.925, LR=0.00100000, global_step=16128
EPOCH  10/160: train_acc=0.972, valid_acc=0.932, LR=0.00100000, global_step=18144
EPOCH  11/160: train_acc=0.976, valid_acc=0.938, LR=0.00050000, global_step=20160
EPOCH  12/160: train_acc=0.980, valid_acc=0.946, LR=0.00050000, global_step=22176
EPOCH  13/160: train_acc=0.983, valid_acc=0.944, LR=0.00050000, global_step=24192
EPOCH  14/160: train_acc=0.980, valid_acc=0.941, LR=0.00050000, global_step=26208
EPOCH  15/160: train_acc=0.981, valid_acc=0.941, LR=0.00050000, global_step=28224
EPOCH  16/160: train_acc=0.983, valid_acc=0.940, LR=0.00050000, global_step=30240
EPOCH  17/160: train_acc=0.984, valid_acc=0.943, LR=0.00050000, global_step=32256
EPOCH  18/160: train_acc=0.984, valid_acc=0.948, LR=0.00050000, global_step=34272
EPOCH  19/160: train_acc=0.985, valid_acc=0.945, LR=0.00050000, global_step=36288
EPOCH  20/160: train_acc=0.986, valid_acc=0.951, LR=0.00050000, global_step=38304
EPOCH  21/160: train_acc=0.988, valid_acc=0.950, LR=0.00025000, global_step=40320
EPOCH  22/160: train_acc=0.988, valid_acc=0.957, LR=0.00025000, global_step=42336
EPOCH  23/160: train_acc=0.988, valid_acc=0.951, LR=0.00025000, global_step=44352
EPOCH  24/160: train_acc=0.989, valid_acc=0.951, LR=0.00025000, global_step=46368
EPOCH  25/160: train_acc=0.989, valid_acc=0.952, LR=0.00025000, global_step=48384
EPOCH  26/160: train_acc=0.989, valid_acc=0.954, LR=0.00025000, global_step=50400
EPOCH  27/160: train_acc=0.990, valid_acc=0.953, LR=0.00025000, global_step=52416
EPOCH  28/160: train_acc=0.989, valid_acc=0.942, LR=0.00025000, global_step=54432
EPOCH  29/160: train_acc=0.990, valid_acc=0.954, LR=0.00025000, global_step=56448
EPOCH  30/160: train_acc=0.990, valid_acc=0.956, LR=0.00025000, global_step=58464
EPOCH  31/160: train_acc=0.992, valid_acc=0.958, LR=0.00012500, global_step=60480
EPOCH  32/160: train_acc=0.992, valid_acc=0.951, LR=0.00012500, global_step=62496
EPOCH  33/160: train_acc=0.992, valid_acc=0.954, LR=0.00012500, global_step=64512
EPOCH  34/160: train_acc=0.992, valid_acc=0.954, LR=0.00012500, global_step=66528
EPOCH  35/160: train_acc=0.992, valid_acc=0.951, LR=0.00012500, global_step=68544
