Training...

EPOCH   1/100: train_acc=0.844, valid_acc=0.811, LR=0.00100000, global_step=0
EPOCH   2/100: train_acc=0.924, valid_acc=0.875, LR=0.00100000, global_step=504
EPOCH   3/100: train_acc=0.949, valid_acc=0.900, LR=0.00100000, global_step=1008
EPOCH   4/100: train_acc=0.958, valid_acc=0.910, LR=0.00100000, global_step=1512
EPOCH   5/100: train_acc=0.970, valid_acc=0.913, LR=0.00100000, global_step=2016
EPOCH   6/100: train_acc=0.971, valid_acc=0.917, LR=0.00100000, global_step=2520
EPOCH   7/100: train_acc=0.978, valid_acc=0.929, LR=0.00100000, global_step=3024
EPOCH   8/100: train_acc=0.979, valid_acc=0.926, LR=0.00100000, global_step=3528
EPOCH   9/100: train_acc=0.982, valid_acc=0.927, LR=0.00100000, global_step=4032
EPOCH  10/100: train_acc=0.986, valid_acc=0.937, LR=0.00100000, global_step=4536
EPOCH  11/100: train_acc=0.990, valid_acc=0.946, LR=0.00050000, global_step=5040
EPOCH  12/100: train_acc=0.991, valid_acc=0.939, LR=0.00050000, global_step=5544
EPOCH  13/100: train_acc=0.992, valid_acc=0.943, LR=0.00050000, global_step=6048
EPOCH  14/100: train_acc=0.991, valid_acc=0.942, LR=0.00050000, global_step=6552
EPOCH  15/100: train_acc=0.992, valid_acc=0.941, LR=0.00050000, global_step=7056
EPOCH  16/100: train_acc=0.993, valid_acc=0.944, LR=0.00050000, global_step=7560
EPOCH  17/100: train_acc=0.993, valid_acc=0.941, LR=0.00050000, global_step=8064
EPOCH  18/100: train_acc=0.993, valid_acc=0.947, LR=0.00050000, global_step=8568
EPOCH  19/100: train_acc=0.993, valid_acc=0.946, LR=0.00050000, global_step=9072
EPOCH  20/100: train_acc=0.994, valid_acc=0.946, LR=0.00050000, global_step=9576
EPOCH  21/100: train_acc=0.996, valid_acc=0.944, LR=0.00025000, global_step=10080
EPOCH  22/100: train_acc=0.996, valid_acc=0.945, LR=0.00025000, global_step=10584
EPOCH  23/100: train_acc=0.996, valid_acc=0.947, LR=0.00025000, global_step=11088
EPOCH  24/100: train_acc=0.996, valid_acc=0.949, LR=0.00025000, global_step=11592
EPOCH  25/100: train_acc=0.997, valid_acc=0.949, LR=0.00025000, global_step=12096
EPOCH  26/100: train_acc=0.996, valid_acc=0.947, LR=0.00025000, global_step=12600
EPOCH  27/100: train_acc=0.997, valid_acc=0.948, LR=0.00025000, global_step=13104
EPOCH  28/100: train_acc=0.997, valid_acc=0.948, LR=0.00025000, global_step=13608
EPOCH  29/100: train_acc=0.997, valid_acc=0.949, LR=0.00025000, global_step=14112
EPOCH  30/100: train_acc=0.997, valid_acc=0.951, LR=0.00025000, global_step=14616
EPOCH  31/100: train_acc=0.997, valid_acc=0.947, LR=0.00012500, global_step=15120
EPOCH  32/100: train_acc=0.998, valid_acc=0.949, LR=0.00012500, global_step=15624
EPOCH  33/100: train_acc=0.998, valid_acc=0.952, LR=0.00012500, global_step=16128
EPOCH  34/100: train_acc=0.998, valid_acc=0.950, LR=0.00012500, global_step=16632
EPOCH  35/100: train_acc=0.998, valid_acc=0.946, LR=0.00012500, global_step=17136
EPOCH  36/100: train_acc=0.998, valid_acc=0.955, LR=0.00012500, global_step=17640
EPOCH  37/100: train_acc=0.998, valid_acc=0.955, LR=0.00012500, global_step=18144
EPOCH  38/100: train_acc=0.998, valid_acc=0.950, LR=0.00012500, global_step=18648
EPOCH  39/100: train_acc=0.998, valid_acc=0.953, LR=0.00012500, global_step=19152
EPOCH  40/100: train_acc=0.998, valid_acc=0.951, LR=0.00012500, global_step=19656
EPOCH  41/100: train_acc=0.999, valid_acc=0.952, LR=0.00006250, global_step=20160
EPOCH  42/100: train_acc=0.998, valid_acc=0.951, LR=0.00006250, global_step=20664
EPOCH  43/100: train_acc=0.998, valid_acc=0.949, LR=0.00006250, global_step=21168
EPOCH  44/100: train_acc=0.999, valid_acc=0.951, LR=0.00006250, global_step=21672
EPOCH  45/100: train_acc=0.998, valid_acc=0.947, LR=0.00006250, global_step=22176
EPOCH  46/100: train_acc=0.999, valid_acc=0.954, LR=0.00006250, global_step=22680
EPOCH  47/100: train_acc=0.999, valid_acc=0.951, LR=0.00006250, global_step=23184
EPOCH  48/100: train_acc=0.999, valid_acc=0.955, LR=0.00006250, global_step=23688
